id,person_id,kind,area,area_detail,time_spent,date_done,date_created
725,13,Practical (repetitive),Communication work,Hotel,120,2010-03-08,2010-03-08 14:55:54
726,25,Theoretical,House technic work,House technic work,120,2010-03-01,2010-03-08 15:22:10
727,25,Theoretical,Administration work,Board of Directors,60,2010-03-05,2010-03-08 15:24:18
728,6,Meeting,Community work,Community gathering,120,2010-01-17,2010-03-08 16:04:35
729,6,Theoretical,Community work,AK Kommunikationsformen,30,2010-01-20,2010-03-08 16:06:17
730,6,Meeting,Community work,Community gathering,120,2010-01-21,2010-03-08 16:07:29
731,6,Practical (repetitive),House work,Garden,90,2010-01-28,2010-03-08 16:08:53
732,6,Theoretical,Community work,Cohabitation,60,2010-01-31,2010-03-08 16:12:00
733,6,Meeting,Community work,Community work,120,2010-03-06,2010-03-08 16:13:46
734,6,Theoretical,House work,House work,30,2010-03-05,2010-03-08 16:14:46
735,6,Practical (repetitive),House work,Cleaning,150,2010-03-04,2010-03-08 16:16:10
736,29,Practical (repetitive),House work,Garden,150,2010-03-06,2010-03-08 16:42:53
738,29,Practical (repetitive),House work,Garden,120,2010-03-07,2010-03-08 16:46:50
739,32,Theoretical,House work,Garden,90,2010-03-07,2010-03-08 18:30:49
740,32,Practical (once),House work,Garden,90,2010-03-04,2010-03-08 18:32:52
741,32,Theoretical,House work,Cooking,90,2010-03-08,2010-03-08 18:34:19
742,4,Practical (repetitive),House work,Cooking,240,2010-03-03,2010-03-08 20:38:53
743,4,Practical (once),Community work,Visitors,180,2010-03-03,2010-03-08 20:39:47
744,4,Practical (repetitive),House work,Cooking,60,2010-03-03,2010-03-08 20:40:15
745,4,Practical (repetitive),House work,Cooking,300,2010-03-04,2010-03-08 20:41:07
746,12,Practical (repetitive),House work,Garden,180,2010-03-04,2010-03-08 20:46:47
747,12,Meeting,House work,Fair Work System,120,2010-03-08,2010-03-08 20:47:22
748,12,Theoretical,House work,Fair Work System,60,2010-03-08,2010-03-08 20:47:44
749,17,Theoretical,House work,House work,60,2010-03-08,2010-03-09 07:44:16
750,25,Practical (once),House technic work,House technic work,210,2010-03-09,2010-03-09 12:10:03
751,14,Theoretical,House technic work,House technic work,60,2010-03-03,2010-03-09 12:54:20
